,Expansion,Slowdown,Crisis
Expansion,0.9625982253845112,0.018901492324926616,0.018500282290562154
Slowdown,0.08070080294773152,0.8743868379220747,0.04491235913019381
Crisis,4.0672300001412514e-110,0.010149034695500422,0.9898509653044996
