ticker,var_hist_95,var_hist_99,var_gauss_95,var_gauss_99,var_cf_95,var_cf_99,var_t_95,var_t_99,var_evt_95,var_evt_99,cvar_hist_95,cvar_hist_99
NVDA,0.04540671163307628,0.0763223434843049,0.04888904914665559,0.07022471104498502,0.04888904914665559,0.11353510551340704,0.044526982312050184,0.08164792288089978,"{'var': np.float64(0.04523585175962924), 'es': np.float64(0.06718558919824717), 'xi': np.float64(0.06108997349204402), 'sigma': np.float64(0.020730661232040093), 'threshold': np.float64(0.04723016710698365), 'n_exceedances': 116}","{'var': np.float64(0.08008983983076108), 'es': np.float64(0.10430734430481754), 'xi': np.float64(0.06108997349204402), 'sigma': np.float64(0.020730661232040093), 'threshold': np.float64(0.04723016710698365), 'n_exceedances': 116}",0.06717859621986244,0.10168097888278702
AMD,0.05320786401974188,0.0890231226639727,0.05905705836024868,0.08450189006829613,0.05905705836024868,0.18122366149092492,0.05377502845957235,0.09935379933884295,"{'var': np.float64(0.05301308919180802), 'es': np.float64(0.07707364470144276), 'xi': np.float64(0.07856221311558276), 'sigma': np.float64(0.02223639970837117), 'threshold': np.float64(0.053854392990956575), 'n_exceedances': 123}","{'var': np.float64(0.09104879439397845), 'es': np.float64(0.11835229177188414), 'xi': np.float64(0.07856221311558276), 'sigma': np.float64(0.02223639970837117), 'threshold': np.float64(0.053854392990956575), 'n_exceedances': 123}",0.07704572391351458,0.11629921589612338
TSM,0.03163825342732075,0.05206710089100944,0.033346559390435,0.04775665599701186,0.033346559390435,0.06445023153584024,0.03145821446031974,0.05626490435792633,"{'var': np.float64(0.03236010877679967), 'es': np.float64(0.04490570168287056), 'xi': np.float64(0.2126001099568579), 'sigma': np.float64(0.010010711372581842), 'threshold': np.float64(0.032982464512375055), 'n_exceedances': 120}","{'var': np.float64(0.05131746856858737), 'es': np.float64(0.06898160013232171), 'xi': np.float64(0.2126001099568579), 'sigma': np.float64(0.010010711372581842), 'threshold': np.float64(0.032982464512375055), 'n_exceedances': 120}",0.04483421732607369,0.06864269320835406
AVGO,0.034859266795734214,0.060769695782779146,0.038687556283969395,0.05538914042285429,0.038687556283969395,0.1140973322821821,0.03413857881040408,0.0646357202336275,"{'var': np.float64(0.03498631455573397), 'es': np.float64(0.05325484150666407), 'xi': np.float64(0.33025684612995654), 'sigma': np.float64(0.012560262225457725), 'threshold': np.float64(0.035970522370320834), 'n_exceedances': 118}","{'var': np.float64(0.06097631439091493), 'es': np.float64(0.09206076238095798), 'xi': np.float64(0.33025684612995654), 'sigma': np.float64(0.012560262225457725), 'threshold': np.float64(0.035970522370320834), 'n_exceedances': 118}",0.05305745030656579,0.09085882275707678
QCOM,0.03462485149641883,0.06643615872386795,0.03801493164239275,0.054094992362505756,0.03801493164239275,0.09405040058131206,0.033455516770956296,0.06561734364486636,"{'var': np.float64(0.03419868443058909), 'es': np.float64(0.05491056647508866), 'xi': np.float64(-0.02257104407831039), 'sigma': np.float64(0.021157366519792498), 'threshold': np.float64(0.03517357629655218), 'n_exceedances': 122}","{'var': np.float64(0.06767386437012705), 'es': np.float64(0.08764685422095443), 'xi': np.float64(-0.02257104407831039), 'sigma': np.float64(0.021157366519792498), 'threshold': np.float64(0.03517357629655218), 'n_exceedances': 122}",0.054873131725404964,0.08761338077758443
MU,0.04586816507611034,0.07691341128060644,0.04864766022277257,0.06954720543498757,0.04864766022277257,0.09168855497232244,0.046397945162157714,0.07972560360917927,"{'var': np.float64(0.04571596879953173), 'es': np.float64(0.06599609777160559), 'xi': np.float64(0.171338761248015), 'sigma': np.float64(0.016938490207893755), 'threshold': np.float64(0.046492987443038175), 'n_exceedances': 122}","{'var': np.float64(0.0768601893898441), 'es': np.float64(0.10357987644238968), 'xi': np.float64(0.171338761248015), 'sigma': np.float64(0.016938490207893755), 'threshold': np.float64(0.046492987443038175), 'n_exceedances': 122}",0.06590928656917588,0.10205979387795143
AAPL,0.027789039878019128,0.04831080122444981,0.028953890955576444,0.04141009523510566,0.028953890955576444,0.0687274533908187,0.025851102792933928,0.05080989007246331,"{'var': np.float64(0.028239264596103927), 'es': np.float64(0.04191353054044216), 'xi': np.float64(0.16546978828209824), 'sigma': np.float64(0.011562488191787745), 'threshold': np.float64(0.029151214383064453), 'n_exceedances': 118}","{'var': np.float64(0.04928345176095017), 'es': np.float64(0.06713033739699233), 'xi': np.float64(0.16546978828209824), 'sigma': np.float64(0.011562488191787745), 'threshold': np.float64(0.029151214383064453), 'n_exceedances': 118}",0.041832434689849665,0.06660771444909407
MSFT,0.026431581908725844,0.04352238027214549,0.026964183095298352,0.03853712536937798,0.026964183095298352,0.06914503059325627,0.02401055217106488,0.046363313138575155,"{'var': np.float64(0.02618637670237364), 'es': np.float64(0.03871794475160827), 'xi': np.float64(0.18196709611145465), 'sigma': np.float64(0.010416523355547543), 'threshold': np.float64(0.027094718691048247), 'n_exceedances': 117}","{'var': np.float64(0.04535523008818515), 'es': np.float64(0.06215080826442268), 'xi': np.float64(0.18196709611145465), 'sigma': np.float64(0.010416523355547543), 'threshold': np.float64(0.027094718691048247), 'n_exceedances': 117}",0.03874106758872184,0.06161494171185353
GOOG,0.027548596734123288,0.049238325421675055,0.02868471903289789,0.04098319921296271,0.02868471903289789,0.06054863561929008,0.025821864302115576,0.04989551041191304,"{'var': np.float64(0.027240417710337375), 'es': np.float64(0.04180365811020598), 'xi': np.float64(0.014895234655313703), 'sigma': np.float64(0.014365113601837183), 'threshold': np.float64(0.0285023035081325), 'n_exceedances': 117}","{'var': np.float64(0.05060891180821668), 'es': np.float64(0.06552549452798304), 'xi': np.float64(0.014895234655313703), 'sigma': np.float64(0.014365113601837183), 'threshold': np.float64(0.0285023035081325), 'n_exceedances': 117}",0.04179147825268319,0.06432951802332726
META,0.0340686197732054,0.061486187889958056,0.03887829786871052,0.05541008417408768,0.03887829786871052,0.1732324295853188,0.03224042468864495,0.06393160457912825,"{'var': np.float64(0.03537600771448316), 'es': np.float64(0.054333932775180574), 'xi': np.float64(0.4049409843158537), 'sigma': np.float64(0.011493441720520548), 'threshold': np.float64(0.03590042362374686), 'n_exceedances': 122}","{'var': np.float64(0.06097394249288424), 'es': np.float64(0.09735140516650437), 'xi': np.float64(0.4049409843158537), 'sigma': np.float64(0.011493441720520548), 'threshold': np.float64(0.03590042362374686), 'n_exceedances': 122}",0.05426587258705868,0.09659280600459315
