factor,model,distribution,omega,alpha,beta,persistence,log_likelihood,aic,bic
hml,"GARCH(1,1)",normal,0.27556574215718393,0.18211736013263,0.8105518083781353,0.9926691685107654,-571.1782106902577,1150.3564213805155,1164.1433708671807
umd,"GARCH(1,1)",normal,1.4787327795210352,0.46221959681559655,0.5377804031847555,1.0000000000003522,-632.6073710568409,1273.2147421136817,1287.001691600347
rmw,"GARCH(1,1)",normal,0.16245785258598666,0.1073369921184995,0.8492630922525087,0.9566000843710082,-458.9943886093454,925.9887772186908,939.775726705356
lowvol,"GARCH(1,1)",normal,1.980762989426045,0.19482824144417663,0.7609166080512738,0.9557448494954505,-716.0492873892094,1440.0985747784189,1453.885524265084
