regime,factor,ann_return,ann_volatility,sharpe,skewness,excess_kurtosis,win_rate,worst_month,best_month,n_months,max_drawdown
Slowdown,hml,-0.07765,0.20324421324453815,-0.382052697887017,-0.41442076664019617,-0.2898957715029864,0.4166666666666667,-0.1383,0.076,24,-0.2570124829258732
Slowdown,umd,-0.26935,0.301407359406415,-0.8936410860386818,-2.204992558092663,7.491113715555409,0.5,-0.34340000000000004,0.0821,24,-0.5426750927556147
Slowdown,rmw,0.11065,0.0886921189087381,1.2475742079615437,0.3272686652142925,-0.0629282002854743,0.7083333333333334,-0.0365,0.0635,24,-0.04337617256585208
Slowdown,lowvol,-0.3747331498910605,0.38069631850291274,-0.9843361537214166,-0.9394489742787103,1.37301021519889,0.4166666666666667,-0.34662692929060857,0.11024411923863135,24,-0.6964979531006572
Crisis,hml,-0.011680733944954155,0.11564684404784378,-0.10100348211942356,0.7548774814037272,2.1177434480575354,0.3944954128440367,-0.09050000000000001,0.1286,109,-0.33891187193025185
Crisis,umd,0.026785321100917435,0.13538352009289054,0.197847722400328,-0.9140831884517692,2.8072701209378192,0.5596330275229358,-0.1617,0.09970000000000001,109,-0.22491493774629126
Crisis,rmw,0.033291743119266054,0.0676387529234819,0.49219924496432105,0.4430178876632159,1.4214583858344336,0.5779816513761468,-0.0478,0.0719,109,-0.07900521411893609
Crisis,lowvol,-0.07184436076367873,0.16128697607497938,-0.4454442789619888,-0.19218891170394867,0.868693325831059,0.44036697247706424,-0.1702845359963406,0.10537286140752887,109,-0.5639739218368861
Expansion,hml,-0.0055018867924528335,0.06876838833120918,-0.08000604530608012,0.1448631073921682,-0.31463706006732917,0.4716981132075472,-0.0473,0.0425,53,-0.20194305925517528
Expansion,umd,0.010822641509433958,0.1070232647008484,0.10112419518957325,-1.5176906368324805,4.8927422756021315,0.6226415094339622,-0.1255,0.0644,53,-0.17303416459000004
Expansion,rmw,0.0037584905660377373,0.05638829820242367,0.06665373288169549,0.3665621733690281,-0.19758032474390852,0.4716981132075472,-0.0342,0.042699999999999995,53,-0.10631057990227505
Expansion,lowvol,-0.19361308485327333,0.1982196364250132,-0.9767603671622991,-0.6561697146396763,1.663273389291605,0.41509433962264153,-0.20113491811167108,0.10402784956024104,53,-0.6093007060845119
