factor,ann_mean,ann_vol,sharpe,sortino,max_drawdown,skewness,kurtosis,hac_se,t_stat,p_value,n_obs
HML,-0.009243103448275876,0.1114711551494948,-0.08291923983276105,-0.12272633139833233,-0.5778632518889473,0.03479509310213443,2.8532243751690953,0.0024799348545449457,-0.31059631234990376,0.756107530951323,232
UMD,0.011379310344827578,0.1546499556913696,0.07358107730426341,0.07466728880016443,-0.5781766993813529,-2.3520294111252755,15.57680290899069,0.0032119642088858534,0.2952323875358182,0.7678163623744908,232
RMW,0.041162068965517246,0.06439254969936037,0.6392365135050107,1.2197770328495714,-0.12121617464055903,0.48759911420257274,1.1912293309814976,0.001241779635077103,2.7623036462344,0.005739507283055839,232
LOWVOL,-0.12561328194294605,0.2009427502443273,-0.6251197507260761,-0.7689765313930429,-0.94653793176609,-1.1037216535508119,4.915128276410581,0.003755712239341458,-2.787160684355563,0.005317210635267361,232
