name,ann_return,ann_volatility,sharpe,sortino,max_drawdown,max_dd_duration_months,calmar,omega,var_95_monthly,cvar_95_monthly,skewness,excess_kurtosis,hit_rate,tail_ratio,n_months,ann_turnover,ann_tc_bps
BL Dynamic,-0.024841074167438953,0.10040080733187291,-0.44014660182329224,-0.5607423380077478,-0.2517626861820958,47,-0.17552670269603127,0.8284262724389218,0.04744672218046053,0.07000929896056891,-0.8110200949827507,1.4530653176120456,0.515625,0.7224897539440212,64,7.19398810507376e-05,0.0017984970262684401
CVaR Dynamic,0.019601244742806036,0.07997010814915638,0.0031417331878234684,0.005265330186773391,-0.17999396416806404,36,0.0013958509329315301,1.2036925279000301,0.03681648897287284,0.04508583902547632,0.09111583506635589,0.29753242606075725,0.5625,1.2477032789777849,64,0.14380571252522317,3.5951428131305794
Equal-Weight,-0.025758558426884244,0.10043240715365707,-0.4491434558356266,-0.5723067048639489,-0.25337115413792666,47,-0.17803351995755867,0.8227020989903131,0.04754828439378147,0.07012666227287083,-0.8103751763347014,1.4491900811064937,0.515625,0.7196926970936334,64,0.3613478904845367,
Inverse-Vol,0.005692374183812336,0.08437938757363134,-0.161859740973703,-0.22459594523388635,-0.17676219330279788,30,-0.07726553716603765,1.0521642857518276,0.033152499637441046,0.05321831154523233,-0.5963415403460863,1.5072063329896475,0.515625,1.038508041303314,64,0.31857468437523745,
Market,0.15241875000000002,0.19281448762192316,0.6901387527524668,1.0985828464972722,-0.2482938371430178,23,0.5359325528621643,1.7502538071065992,0.09028499999999999,0.102875,-0.37127564636123844,-0.004124000450822063,0.65625,1.0198261062191945,64,,
60/40,0.09919125000000001,0.11575321379370608,0.6897540671509309,1.0973303489798665,-0.15121723678276058,18,0.5279904043921946,1.8306692208648683,0.053489,0.061224999999999995,-0.3790625082854,-0.010926444310686012,0.65625,1.063153171680158,64,,
